Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
4.1089500,0.0029213,0.0033545,0.0021901,0.0003535,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1090000,0.0038993,0.0038244,0.0018845,0.0003341,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1090500,0.0050324,0.0040365,0.0010472,0.0010923,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1091000,0.0062259,0.0035368,0.0005344,0.0006861,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1091500,0.0062086,0.0031715,0.0009828,0.0016585,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1092000,0.0056215,0.0029248,0.0013661,0.0012413,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1092500,0.0053055,0.0027626,0.0020134,0.0005496,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1093000,0.0050290,0.0030745,0.0013661,0.0016793,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1093500,0.0053457,0.0028333,0.0011949,0.0009973,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1094000,0.0049195,0.0028867,0.0003611,0.0009655,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1094500,0.0045958,0.0020453,0.0007236,0.0008158,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1095000,0.0041536,0.0022726,0.0009793,0.0000146,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1095500,0.0034155,0.0023530,0.0005600,0.0007007,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1096000,0.0029581,0.0018221,0.0006106,0.0005087,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1096500,0.0003313,0.0024459,0.0001282,0.0007908,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1097000,-0.0004152,0.0015823,0.0008206,0.0006841,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1097500,-0.0006321,0.0023877,0.0013051,-0.0001573,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1098000,-0.0007208,0.0024798,0.0012496,0.0007021,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1098500,-0.0004838,0.0021818,0.0008726,0.0009329,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1099000,-0.0009793,0.0027162,0.0007007,0.0009759,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1099500,-0.0008241,0.0028874,0.0003105,0.0009828,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1100000,-0.0007326,0.0022712,0.0005905,0.0003673,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1100500,-0.0013009,0.0031383,0.0008379,0.0009357,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1101000,-0.0018720,0.0023488,0.0005988,0.0010161,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1101500,-0.0028056,0.0032180,0.0000146,0.0012773,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1102000,-0.0025983,0.0028804,0.0006328,0.0015532,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1102500,-0.0028132,0.0032873,0.0008033,0.0016655,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1103000,-0.0031535,0.0026670,0.0006487,0.0011879,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1103500,-0.0025623,0.0029934,0.0007561,0.0012753,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1104000,-0.0013473,0.0030086,0.0004339,0.0018235,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1104500,-0.0008483,0.0022456,0.0003375,0.0011949,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1105000,-0.0013369,0.0027474,0.0009142,0.0022144,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1105500,-0.0013037,0.0029137,0.0008684,0.0018658,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1106000,-0.0014672,0.0023987,0.0008594,0.0013591,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1106500,-0.0004013,0.0029026,0.0018997,0.0016377,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1107000,0.0003251,0.0027390,0.0011581,0.0008379,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1107500,0.0001261,0.0030350,0.0019268,0.0014347,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1108000,0.0000042,0.0028825,0.0024043,0.0013931,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1108500,0.0008005,0.0020467,0.0021548,0.0007319,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1109000,0.0016689,0.0022955,0.0018935,0.0017369,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1109500,0.0023967,0.0022546,0.0013647,0.0007437,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1110000,0.0026309,0.0022726,0.0019108,0.0011297,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1110500,0.0024154,0.0021652,0.0016883,0.0012843,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1111000,0.0024743,0.0018519,0.0016870,0.0009558,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1111500,0.0037482,0.0028693,0.0024625,0.0020418,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1112000,0.0042111,0.0024521,0.0022823,0.0013418,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1112500,0.0048100,0.0031743,0.0020349,0.0016038,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1113000,0.0056063,0.0030724,0.0015074,0.0023100,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1113500,0.0062703,0.0025512,0.0012240,0.0019517,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1114000,0.0064013,0.0031542,0.0022241,0.0022428,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1114500,0.0071560,0.0030010,0.0015255,0.0017001,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1115000,0.0075033,0.0038549,0.0024036,0.0022802,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1115500,0.0067215,0.0032041,0.0027390,0.0025221,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1116000,0.0055467,0.0026933,0.0016662,0.0013758,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1116500,0.0044177,0.0027820,0.0026822,0.0022504,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1117000,0.0044558,0.0024008,0.0021943,0.0015061,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1117500,0.0048744,0.0021271,0.0018616,0.0017140,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1118000,0.0044579,0.0022116,0.0022269,0.0020002,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1118500,0.0043303,0.0020571,0.0017819,0.0015463,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1119000,0.0033240,0.0016135,0.0019753,0.0011443,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1119500,0.0030239,0.0014735,0.0015788,0.0004942,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1120000,0.0031036,0.0021402,0.0018741,0.0008227,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1120500,0.0023585,0.0024611,0.0021991,0.0006924,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1121000,0.0023405,0.0018429,0.0020869,-0.0000984,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1121500,0.0015067,0.0020286,0.0029553,0.0009516,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1122000,0.0009502,0.0017660,0.0023980,0.0003271,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1122500,-0.0000638,0.0023100,0.0029283,0.0006099,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1123000,-0.0007111,0.0021402,0.0023606,0.0011963,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1123500,-0.0014964,0.0023932,0.0017902,0.0004373,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1124000,-0.0030502,0.0023960,0.0011512,0.0010666,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1124500,-0.0035624,0.0017417,0.0011699,0.0012011,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1125000,-0.0042056,0.0020397,0.0009038,0.0012046,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1125500,-0.0046713,0.0024285,0.0002273,0.0017701,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1126000,-0.0048266,0.0018970,0.0001393,0.0016779,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1126500,-0.0053235,0.0023031,-0.0001421,0.0023779,-0.0000000,-0.0000000,-0.0000000,-0.0000000
